zip_code,population,poverty_rate,median_income
01011,1448.0,10.013812154696133,64904.0
01012,560.0,9.285714285714286,64091.0
01013,23065.0,19.956644266204204,40594.0
01020,30097.0,10.622321161577565,58226.0
01022,2499.0,23.88955582232893,41863.0
01026,954.0,9.014675052410901,55268.0
01027,17848.0,8.947781264007173,62772.0
01028,16200.0,4.018518518518518,88442.0
01029,651.0,14.285714285714286,72813.0
01030,11123.0,6.679852557763193,74139.0
01031,1197.0,22.55639097744361,42188.0
01032,533.0,3.75234521575985,80500.0
01033,6333.0,3.7738828359387337,95987.0
01034,2179.0,7.7099586966498395,84926.0
01035,5310.0,5.630885122410546,64276.0
01036,5191.0,4.527066075900597,85943.0
01037,798.0,8.897243107769423,96302.0
01038,2867.0,4.918032786885246,66818.0
01039,1042.0,8.253358925143955,77679.0
